Date,Open,High,Low,Close,Adj Close,Volume
2008-06-20,6.405357,6.464286,6.250000,6.259643,5.292232,888367200
1991-03-11,0.575893,0.578125,0.555804,0.566964,0.454377,175369600
1989-08-21,0.377232,0.386161,0.375000,0.377232,0.297254,137827200
2014-07-14,23.965000,24.222500,23.912500,24.112499,21.328360,171240000
2014-03-21,18.997499,19.062500,18.797501,19.031071,16.740154,374046400
2009-04-28,4.405357,4.507500,4.402143,4.425000,3.741129,455856800
2006-10-30,2.856786,2.889286,2.839286,2.872143,2.428262,499917600
1984-09-10,0.118304,0.118862,0.115513,0.117746,0.090875,64624000
1991-03-07,0.566964,0.602679,0.564732,0.600446,0.481210,321753600
1996-08-05,0.193080,0.195313,0.186384,0.187500,0.158522,101012800
1999-08-04,0.492746,0.498884,0.475446,0.480469,0.406214,371425600
2006-09-19,2.646429,2.655714,2.600000,2.634643,2.227466,710049200
2024-03-25,170.570007,171.940002,169.449997,170.850006,170.618591,54288300
2001-10-17,0.327500,0.328750,0.302857,0.303393,0.256504,285538400
2000-03-03,1.114955,1.144950,1.071429,1.142857,0.966231,323366400
2019-11-04,64.332497,64.462502,63.845001,64.375000,62.364189,103272000
1985-04-04,0.093750,0.094308,0.092076,0.093192,0.071925,161862400
1996-05-16,0.252232,0.255580,0.248884,0.253348,0.214194,130076800
2001-01-05,0.302455,0.310268,0.286830,0.292411,0.247220,412356000
2010-06-02,9.447857,9.457143,9.297500,9.426786,7.969903,688548000
1983-08-09,0.151786,0.155692,0.150670,0.153460,0.118439,150371200
2003-10-01,0.369821,0.376786,0.360536,0.371250,0.313874,236112800
2023-04-27,165.190002,168.559998,165.190002,168.410004,167.288956,64902300
2006-05-03,2.565357,2.569643,2.506429,2.540714,2.148054,686991200
1982-05-13,0.068080,0.068638,0.068080,0.068080,0.052543,54454400
2012-05-23,19.910713,20.457144,19.758215,20.377144,17.227909,584897600
2002-08-28,0.264286,0.270000,0.261607,0.262500,0.221931,247973600
2001-08-17,0.321429,0.329464,0.321250,0.322679,0.272810,208426400
2004-06-15,0.545357,0.556071,0.540357,0.548036,0.463338,444634400
2009-09-29,6.668929,6.692857,6.582500,6.620714,5.597501,345385600
2014-09-16,24.950001,25.315001,24.722500,25.215000,22.414499,267632400
1989-10-13,0.435268,0.441964,0.401786,0.408482,0.321879,201118400
2003-08-11,0.353929,0.355893,0.348393,0.351071,0.296814,137228000
1983-11-23,0.095982,0.095982,0.089286,0.090960,0.070202,114352000
1980-12-31,0.152902,0.152902,0.152344,0.152344,0.117578,35750400
2013-10-30,18.557501,18.840000,18.465000,18.746429,16.296516,354163600
2007-10-04,5.642857,5.645714,5.482143,5.580000,4.717627,656958400
2018-09-05,57.247501,57.417500,56.275002,56.717499,54.106274,133332000
1990-10-29,0.270089,0.272321,0.265625,0.266741,0.212612,123480000
1999-06-24,0.389509,0.389509,0.377232,0.377790,0.319404,433361600
1996-02-21,0.262277,0.265625,0.260045,0.264509,0.223630,221838400
2006-02-07,2.438214,2.481429,2.381429,2.414286,2.041165,1388830800
2017-06-27,36.252499,36.540001,35.904999,35.932499,33.635536,99047600
1988-11-02,0.341518,0.341518,0.328125,0.332589,0.259482,208521600
1981-12-07,0.085379,0.085938,0.085379,0.085379,0.065895,59292800
2022-02-04,171.679993,174.100006,170.679993,172.389999,170.211380,82465400
2016-03-14,25.477501,25.727501,25.445000,25.629999,23.398348,100304400
1987-10-26,0.308036,0.312500,0.246652,0.250000,0.193491,313600000
2021-02-16,135.490005,136.009995,132.789993,133.190002,130.729767,80576300
